Reference,Value,Quantity,Manf Part #
"R11,R12",1K,2,RC0805JR-071KL
"C1,C2",.033u,2,08055C333KAT2A
"RV1,RV2",Varistor,2,B72660M0251K072
L1,Ferrite_Bead_Small,1,HI1206T500R-10
F1,Polyfuse,1,LVR005NK
"R1,R2",12,2,RL1220S-120-F
R13,499,1,RC0805FR-07499RL
D2,IND_LED,1,LTST-C150GKT
"R3,R5,R7,R9,R4,R6,R8,R10",220K,8,CHV1206-JW-224ELF
"C5,C3",.001u,2,202R18W102KV4E
C4,.1u,1,GRM32DR72H104KW10L
U2,dc-dc,1,CRE1S0505S3C
"J2,J3",TRS3.5Female,2,SJ-3523-SMT-TR
J1,Conn_01x03,1,OSTTE030161
"R25,R26,R27,R28",100,4,RC0805FR-07100RL
"C23,C24,C25,C26",.33u,4,CL21B334KAFNNNG
U1,RAC03-3.3SGA,1,RAC04-3.3SGB
"C11,C12,C8,C20,C21,C17,C6,C7,C22",.1u,9,CL21F104ZBCNNNC
"C9,C10,C18,C19",10u,4,CL21A106KQCLRNC
"Y1,Y2",Crystal_Small,2,ABLS2-3.579545MHZ-D4Y-T
"C13,C14,C15,C16",27p,4,500R15N270KV4T
"L2,L3",L_Core_Ferrite_Small,2,MH2029-601Y
"R14,R15,R16,R17,R19,R20,R21,R22,R23,R18",51,10,RMCF0805JT51R0
R24,10K,1,C0805JR-0710KL
"M2,M1",ATM90E26_ATM90E26,2,ATM90E26-YU-B
U3,Si865,1,SI8652AB-B-IS1
