Reference, Value, Footprint, Datasheet, PN
"R11","1K","Resistors_SMD:R_0805_HandSoldering","","R"
"C1",".033u","Capacitors_SMD:C_0805_HandSoldering","","C"
"RV1","Varistor","HappyDayEnergyMonitor:MOV","","B72660M0251K072"
"R12","1K","Resistors_SMD:R_0805_HandSoldering","","R"
"C2",".033u","Capacitors_SMD:C_0805_HandSoldering","","C"
"L1","Ferrite_Bead_Small","Capacitors_SMD:C_1206_HandSoldering","","HI1206T500R-10"
"RV2","Varistor","HappyDayEnergyMonitor:MOV","","B72660M0251K072"
"F1","Polyfuse","HappyDayEnergyMonitor:POLYFUSE","","LVR005NK"
"R1","12","Resistors_SMD:R_0805_HandSoldering","","RL1220S-120-F"
"R13","330","Resistors_SMD:R_0805_HandSoldering","","R"
"D2","IND_LED","Capacitors_SMD:C_1206_HandSoldering","","LED"
"R3","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"U1","120VAC->3.3VDC REG","HappyDayEnergyMonitor:RAC03-GA","","RAC03-3.3SGA"
"C5",".001u","Capacitors_SMD:C_0805_HandSoldering","","202R18W102KV4E"
"C3",".001u","Capacitors_SMD:C_0805_HandSoldering","","202R18W102KV4E"
"C4",".1u","Capacitors_SMD:C_0805_HandSoldering","","GRM32DR72H104KW10L"
"U2","dc-dc","HappyDayEnergyMonitor:DC-DC","","CRE1S0505S3C"
"R5","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"R7","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"R9","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"R4","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"R6","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"R8","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"R10","220K","Resistors_SMD:R_1206_HandSoldering","","R"
"J2","TRS3.5Female","HappyDayEnergyMonitor:Audio-Jack","","SJ-3523-SMT-TR"
"R2","12","Resistors_SMD:R_0805_HandSoldering","","RL1220S-120-F"
"J3","TRS3.5Female","HappyDayEnergyMonitor:Audio-Jack","","SJ-3523-SMT-TR"
"J1","Conn_01x03","HappyDayEnergyMonitor:3PinConnector","","OSTTE030161"
"TP1","3.3V_A","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","X"
"TP2","GNDA","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","X"
"TP3","LO_SAMP","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","X"
"TP4","L1_SAMP","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","x"
"TP6","I1P_0","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","x"
"TP7","I1N_0","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","x"
"TP8","I1P_1","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","x"
"TP9","I1N_1","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","x"
"TP10","3.3V_D","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","x"
"TP11","GND_D","Connectors_TestPoints:Test_Point_Pad_d2.0mm","","x"
"J10","GS3","Connectors:GS3","","X"
"J11","GS3","Connectors:GS3","","X"
"C11",".1u","Capacitors_SMD:C_0805_HandSoldering","","C"
"C9","10u","Capacitors_SMD:C_0805_HandSoldering","","C"
"C12",".1u","Capacitors_SMD:C_0805_HandSoldering","","C"
"C10","10u","Capacitors_SMD:C_0805_HandSoldering","","C"
"C8",".1u","Capacitors_SMD:C_0805_HandSoldering","","C"
"Y1","Crystal_Small","HappyDayEnergyMonitor:Crystal","","535-9865-1-ND"
"C13","18p","Capacitors_SMD:C_0805_HandSoldering","","C"
"C14","18p","Capacitors_SMD:C_0805_HandSoldering","","C"
